2026-07-30 21:36:09,107 | INFO | httpx | HTTP Request: POST http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-30 21:36:09,116 | INFO | app.middleware.logging | GET /api/applications -> 200 (1.89 ms)
2026-07-30 21:36:09,117 | INFO | httpx | HTTP Request: GET http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-30 21:36:09,125 | INFO | app.middleware.logging | PUT /api/applications/1 -> 200 (2.50 ms)
2026-07-30 21:36:09,126 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-30 21:36:09,135 | INFO | app.middleware.logging | PUT /api/applications/999 -> 404 (2.50 ms)
2026-07-30 21:36:09,136 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-30 21:36:09,144 | INFO | app.middleware.logging | DELETE /api/applications/1 -> 200 (2.14 ms)
2026-07-30 21:36:09,144 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-30 21:36:09,153 | INFO | app.middleware.logging | DELETE /api/applications/999 -> 404 (3.12 ms)
2026-07-30 21:36:09,154 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-30 21:36:09,158 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-30 21:39:11,771 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:39:11,772 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:39:11,772 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:39:12,458 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-30 21:45:30,900 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:45:30,901 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:45:30,901 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:45:30,926 | INFO | app.middleware.logging | POST /api/cover-letter -> 200 (20.37 ms)
2026-07-30 21:45:30,927 | INFO | httpx | HTTP Request: POST http://testserver/api/cover-letter "HTTP/1.1 200 OK"
2026-07-30 21:45:30,931 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-30 21:45:51,391 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-30 21:45:51,391 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-30 21:45:51,391 | INFO | apscheduler.scheduler | Scheduler started
2026-07-30 21:45:51,418 | INFO | app.middleware.logging | POST /api/applications -> 200 (22.31 ms)
2026-07-30 21:45:51,419 | INFO | httpx | HTTP Request: POST http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-30 21:45:51,429 | INFO | app.middleware.logging | GET /api/applications -> 200 (3.23 ms)
2026-07-30 21:45:51,429 | INFO | httpx | HTTP Request: GET http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-30 21:45:51,440 | INFO | app.middleware.logging | PUT /api/applications/1 -> 200 (4.08 ms)
2026-07-30 21:45:51,441 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-30 21:45:51,453 | INFO | app.middleware.logging | PUT /api/applications/999 -> 404 (3.34 ms)
2026-07-30 21:45:51,454 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-30 21:45:51,464 | INFO | app.middleware.logging | DELETE /api/applications/1 -> 200 (2.56 ms)
2026-07-30 21:45:51,465 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-30 21:45:51,474 | INFO | app.middleware.logging | DELETE /api/applications/999 -> 404 (2.99 ms)
2026-07-30 21:45:51,475 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-30 21:45:51,490 | INFO | app.middleware.logging | POST /api/auth/register -> 200 (7.44 ms)
2026-07-30 21:45:51,490 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/register "HTTP/1.1 200 OK"
2026-07-30 21:45:51,498 | INFO | app.middleware.logging | POST /api/auth/login -> 200 (2.32 ms)
2026-07-30 21:45:51,498 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-07-30 21:45:51,510 | INFO | app.middleware.logging | POST /api/auth/login -> 401 (3.37 ms)
2026-07-30 21:45:51,511 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 401 Unauthorized"
2026-07-30 21:45:51,521 | INFO | app.middleware.logging | POST /api/cover-letter -> 200 (3.08 ms)
2026-07-30 21:45:51,522 | INFO | httpx | HTTP Request: POST http://testserver/api/cover-letter "HTTP/1.1 200 OK"
2026-07-30 21:45:51,531 | INFO | app.middleware.logging | POST /api/jobs -> 200 (2.87 ms)
2026-07-30 21:45:51,532 | INFO | httpx | HTTP Request: POST http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-30 21:45:51,540 | INFO | app.middleware.logging | GET /api/jobs -> 200 (2.76 ms)
2026-07-30 21:45:51,541 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-30 21:45:51,549 | INFO | app.middleware.logging | GET /api/jobs/1 -> 200 (2.37 ms)
2026-07-30 21:45:51,549 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-30 21:45:51,558 | INFO | app.middleware.logging | PUT /api/jobs/1 -> 200 (2.87 ms)
2026-07-30 21:45:51,558 | INFO | httpx | HTTP Request: PUT http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-30 21:45:51,566 | INFO | app.middleware.logging | DELETE /api/jobs/1 -> 200 (2.33 ms)
2026-07-30 21:45:51,567 | INFO | httpx | HTTP Request: DELETE http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-30 21:45:51,577 | INFO | app.middleware.logging | POST /api/resumes/upload -> 200 (3.67 ms)
2026-07-30 21:45:51,577 | INFO | httpx | HTTP Request: POST http://testserver/api/resumes/upload "HTTP/1.1 200 OK"
2026-07-30 21:45:51,585 | INFO | app.middleware.logging | GET /api/resumes -> 200 (3.10 ms)
2026-07-30 21:45:51,586 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes "HTTP/1.1 200 OK"
2026-07-30 21:45:51,594 | INFO | app.middleware.logging | GET /api/resumes/latest -> 200 (1.97 ms)
2026-07-30 21:45:51,594 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes/latest "HTTP/1.1 200 OK"
2026-07-30 21:45:52,877 | INFO | app.services.resume_service | Resume uploaded successfully.
2026-07-30 21:45:52,901 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-31 20:41:11,000 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-31 20:41:11,005 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-31 20:41:11,005 | INFO | apscheduler.scheduler | Scheduler started
2026-07-31 20:41:11,122 | INFO | app.middleware.logging | POST /api/applications -> 200 (100.31 ms)
2026-07-31 20:41:11,125 | INFO | httpx | HTTP Request: POST http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 20:41:11,145 | INFO | app.middleware.logging | GET /api/applications -> 200 (6.55 ms)
2026-07-31 20:41:11,147 | INFO | httpx | HTTP Request: GET http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 20:41:11,168 | INFO | app.middleware.logging | PUT /api/applications/1 -> 200 (8.41 ms)
2026-07-31 20:41:11,170 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-31 20:41:11,187 | INFO | app.middleware.logging | PUT /api/applications/999 -> 404 (6.39 ms)
2026-07-31 20:41:11,189 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 20:41:11,208 | INFO | app.middleware.logging | DELETE /api/applications/1 -> 200 (7.44 ms)
2026-07-31 20:41:11,210 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/1 "HTTP/1.1 200 OK"
